Commercial,Capitated,3888533.39,1586939.40,40.81,1731522.87,44.53,570071.12,14.66
Medicaid,Capitated,9501174.81,4197278.73,44.18,3785030.98,39.84,1518865.10,15.99
Medicare,Capitated,3931100.05,1542309.49,39.23,1759245.79,44.75,629544.77,16.01
Medicare Advantage,Capitated,5630191.86,2584946.26,45.91,2230348.34,39.61,814897.26,14.47
Self-Pay,Capitated,8159227.26,3424468.59,41.97,3557362.78,43.6,1177395.89,14.43
Tricare,Capitated,9994896.62,4421179.36,44.23,4145883.33,41.48,1427833.93,14.29
Commercial,Fee for Service,8554864.88,3545725.10,41.45,3866369.19,45.19,1142770.59,13.36
Medicaid,Fee for Service,7896653.66,3234312.89,40.96,3626474.62,45.92,1035866.15,13.12
Medicare,Fee for Service,9556766.34,4169512.45,43.63,3806627.86,39.83,1580626.03,16.54
Medicare Advantage,Fee for Service,7722179.21,3523326.70,45.63,3220217.41,41.7,978635.10,12.67
Self-Pay,Fee for Service,10381049.06,4214851.18,40.6,4727569.94,45.54,1438627.94,13.86
Tricare,Fee for Service,13918776.36,5920511.44,42.54,5990961.94,43.04,2007302.98,14.42
Workers Comp,Fee for Service,7577937.93,3452344.11,45.56,3270690.25,43.16,854903.57,11.28
Commercial,Per Diem,1921867.77,810332.46,42.16,762297.62,39.66,349237.69,18.17
Medicaid,Per Diem,6290097.92,2783625.12,44.25,2541234.34,40.4,965238.46,15.35
Medicare,Per Diem,12114018.43,5229526.10,43.17,5229747.22,43.17,1654745.11,13.66
Medicare Advantage,Per Diem,1665682.41,790608.66,47.46,716603.26,43.02,158470.49,9.51
Self-Pay,Per Diem,9775794.14,4035601.86,41.28,4426643.34,45.28,1313548.94,13.44
Tricare,Per Diem,9828034.55,4302565.28,43.78,3889633.65,39.58,1635835.62,16.64
Workers Comp,Per Diem,14207402.80,5899702.56,41.53,6262530.77,44.08,2045169.47,14.4
Commercial,Value-Based,7435507.36,2934268.20,39.46,3280311.97,44.12,1220927.19,16.42
Medicaid,Value-Based,11179171.21,4597376.18,41.12,4910152.38,43.92,1671642.65,14.95
Medicare,Value-Based,5844454.09,2430927.22,41.59,2623420.53,44.89,790106.34,13.52
Medicare Advantage,Value-Based,12566901.80,5401212.78,42.98,5465553.29,43.49,1700135.73,13.53
Self-Pay,Value-Based,5782059.31,2727148.26,47.17,2069309.12,35.79,985601.93,17.05
Tricare,Value-Based,6343847.31,2805547.33,44.22,2645916.86,41.71,892383.12,14.07
Workers Comp,Value-Based,6714452.81,3029367.57,45.12,2789159.40,41.54,895925.84,13.34
